prefecture_id,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2026-1,2026-2,2026-3,2026-4,2026-5,2026-1,2026-2,2026-3,2026-4,2026-5,2026-6,2026-7,2026-8
1,20789.0,19901.0,21694.0,20181.0,20361.0,20427.0,21128.0,20533.0,20516.0,19795.0,22534.0,20222.0,19802.0,23060.0,18392.0,21686.0,21433.0,20578.0,20043.0,20378.0,20895.0
2,4004.0,3710.0,4052.0,3800.0,3789.0,3690.0,3822.0,3793.0,3387.0,3298.0,3635.0,3454.0,3581.0,3810.0,3284.0,3666.0,3163.0,3548.0,3535.0,3771.0,3935.0
3,3805.0,3802.0,3852.0,3539.0,3564.0,3718.0,3739.0,3613.0,3490.0,3660.0,3627.0,3409.0,3632.0,3587.9999999999995,3445.0,3833.0,3420.0000000000005,3418.0,3720.9999999999995,3591.9999999999995,3935.9999999999995
4,7464.0,7253.0,7594.0,7250.0,7311.0,7130.0,7151.0,6992.0,7269.0,6945.0,7591.0,7161.0,7314.0,7945.0,6565.0,7427.0,7585.0,7260.0,7295.0,7077.0,7786.0
5,3387.0,3024.0,3143.0,3038.0,3139.0,3097.0,3013.0,2962.0,2896.0,2609.0,2946.0,2906.0,2921.0,3097.0,2501.0,2939.0,2795.0,3005.0,2809.0,2958.0,2877.0
6,3675.0,3404.0,3617.0,3351.0,3403.0,3477.0,3433.0,3495.0,3269.0,3084.0,3360.0,3243.0,3261.0,3507.0,2928.0,3471.0,3112.0,3153.0,3353.0,3290.0,3587.0
7,6271.0,5953.0,6170.0,6227.0,6297.0,6232.0,6144.0,6118.0,6049.0,5602.0,6014.0,5825.0,5992.0,6221.0,5477.0,5822.0,6062.000000000001,5812.0,6037.0,6223.0,6229.0
8,8760.0,7969.0,9062.0,8428.0,8623.0,8840.0,8891.0,8969.0,8900.0,7971.0,8608.0,8226.0,8543.0,8661.0,8765.0,8314.0,8252.0,8490.0,8671.0,8661.0,8694.0
9,8209.0,7517.0,8287.0,7644.0,7873.0,7843.0,7831.0,8002.0,8296.0,7377.0,8080.0,7575.0,7825.0,8445.0,7553.0,7876.0,7626.0,7853.0,7684.0,7893.0,7903.0
10,7479.0,6906.0,7607.0,7322.0,7403.0,7402.0,7637.0,7377.0,7322.0,7102.0,7271.0,6848.0,7598.0,7153.0,6999.0,7643.0,7164.0,6961.0,7327.0,7239.0,7631.0
11,20554.0,19195.0,20485.0,20195.0,20265.0,19729.0,20103.0,20874.0,20263.0,18810.0,21297.0,19356.0,20471.0,21298.0,19605.0,19960.0,20863.0,19670.0,19385.0,19536.0,20890.0
